제품번호,물품명,물품대분류,물품중분류,상품중량
100022191V2_1646,토시살-성남용인,중량(정육),한우(중량),
100022192V2_1647,토종풋고추,열매채소,토종풋고추,150g
100022193V2_1648,토판천일염 선물모음,소금,천일염,
100022194V2_1649,톳가루,수산가공,수산분말,150g
100022195V2_1650,톳장아찌,밑반찬,조림,250g
100022196V2_1651,통곡물닭죽,식사대용,죽,300g
100022197V2_1652,통녹두/유,콩/화본/깨,콩,500g
100022198V2_1653,통닭,닭/오리,논지엠오닭,우리보리살림닭/1마리
100022199V2_1653,통닭,닭/오리,무항생제닭,1마리
100022200V2_1654,통밀가루,가루,곡식가루,500g
100022201V2_1655,통밀또띠아,밀가공,피자/핫도그,40g*10장
100022202V2_1656,통밀식빵,빵,"식빵, 식사대용",300g/
100022203V2_1657,통밀퐁,과자,스낵,70g
100022204V2_1658,통배삼겹살,돼지,보리살림돼지,600g/우리보리살림돼지
100022205V2_1659,통살생선가스,수산가공,수산가공반찬,240g
100022206V2_1660,통삼겹살,돼지,보리살림(냉장),500g
100022207V2_1661,통삼겹-성남용인,중량(정육),돼지(중량),
100022208V2_1662,통연근,뿌리채소,연근,400g
100022209V2_1663,통연근/세척,뿌리채소,연근,400g
100022210V2_1664,통흑마늘/유기,건강일반,추출/농축액,200g
100022211V2_1664,통흑마늘/유기,건강일반,추출/농축액,선물용:55g*10봉
100022212V2_1665,튀김가루,가루,프리믹스,500g/무농약
100022213V2_1666,튀김옷돈가스,육가공,돈가스/분쇄가공,400g
100022214V2_1667,특대3.5호,식기/편백,옹기,
100022215V2_1668,특대3호,식기/편백,옹기,
100022216V2_1669,특대4호,식기/편백,옹기,
100022217V2_1670,특대5호,식기/편백,옹기,
100022218V2_1671,티라이트 꿀초,생활용품,환경용품,10개
100022219V2_1672,티스푼세트,식기/편백,옻칠,색칠/5개
100022220V2_1673,파김치,김치,기타채소,500g
100022221V2_1674,파래땅콩쌀엿강정,과자,한과/유과,80g
100022222V2_1675,파래전장김,밑반찬,김가공,30g
100022223V2_1676,파래참김,해조,김,50장
100022224V2_1677,파채,양념채소,대파/손질,200g
100022225V2_1678,파프리카,열매채소,파프리카,350g
100022226V2_1678,파프리카,열매채소,파프리카,소/350g
100022227V2_1678,파프리카,열매채소,파프리카,풋/250g
100022228V2_1679,팝콘용옥수수/무,콩/화본/깨,콩,300g
100022229V2_1679,팝콘용옥수수/무,콩/화본/깨,콩,하나더
100022230V2_1680,팥,콩/화본/깨,콩,국산/500g
100022231V2_1681,팥/무,콩/화본/깨,콩,150g
100022232V2_1681,팥/무,콩/화본/깨,콩,500g
100022233V2_1682,팥빙수팥,잼/병조림/기타,병조림/기타,430g
100022234V2_1683,팥시루떡,떡,즉석떡,180g
100022235V2_1684,팥양갱,과자,엿/양갱/기타,40g
100022236V2_1685,팥죽,식사대용,죽,230g
100022237V2_1686,팥찐빵,빵,"찐빵,호떡,전통",5개:400g/
100022238V2_1687,팽이버섯,버섯,팽이버섯,100g
100022239V2_1687,팽이버섯,버섯,팽이버섯,150g
100022240V2_1688,페퍼민트,차,잎꽃차,10g
100022241V2_1689,편백나무다용도큐브칩,식기/편백,편백,
100022242V2_1690,편백나무베개본체커버,식기/편백,편백,대형/하늘
100022243V2_1690,편백나무베개본체커버,식기/편백,편백,대형/회색
100022244V2_1690,편백나무베개본체커버,식기/편백,편백,성인/분홍
100022245V2_1690,편백나무베개본체커버,식기/편백,편백,성인/하늘
100022246V2_1691,편백나무베개속통커버,식기/편백,편백,대형
100022247V2_1691,편백나무베개속통커버,식기/편백,편백,성인
100022248V2_1691,편백나무베개속통커버,식기/편백,편백,아동
100022249V2_1692,편백나무베개커버,식기/편백,편백,대형/하늘잔꽃
100022250V2_1692,편백나무베개커버,식기/편백,편백,성인/분홍잔꽃
100022251V2_1692,편백나무베개커버,식기/편백,편백,성인/하늘잔꽃
100022252V2_1692,편백나무베개커버,식기/편백,편백,성인/회색잔꽃
100022253V2_1692,편백나무베개커버,식기/편백,편백,아동/블루강아지
100022254V2_1692,편백나무베개커버,식기/편백,편백,아동/핑크강아지
100022255V2_1693,편백나무아동베개,식기/편백,편백,블루
100022256V2_1693,편백나무아동베개,식기/편백,편백,블루강아지
100022257V2_1693,편백나무아동베개,식기/편백,편백,핑크강아지
100022258V2_1694,편백나무큐브목베개,식기/편백,편백,참숯
100022259V2_1694,편백나무큐브목베개,식기/편백,편백,황토
100022260V2_1695,편백나무큐브목베개모음,식기/편백,편백,2개
100022261V2_1696,편백나무큐브베개,식기/편백,편백,대형/분홍잔꽃
100022262V2_1696,편백나무큐브베개,식기/편백,편백,대형/하늘잔꽃
100022263V2_1696,편백나무큐브베개,식기/편백,편백,대형/하늘잔꽃/정지예정품번
100022264V2_1696,편백나무큐브베개,식기/편백,편백,대형/회색잔꽃
100022265V2_1696,편백나무큐브베개,식기/편백,편백,성인/분홍잔꽃
100022266V2_1696,편백나무큐브베개,식기/편백,편백,성인/하늘잔꽃
100022267V2_1696,편백나무큐브베개,식기/편백,편백,성인/회색잔꽃
100022268V2_1696,편백나무큐브베개,식기/편백,편백,성인/회색잔꽃/정지예정품번
100022269V2_1697,편백목침,식기/편백,편백,
100022270V2_1698,편백원목도마,식기/편백,편백,건식/손잡이형
100022271V2_1698,편백원목도마,식기/편백,편백,건식/타원형/1p
100022272V2_1699,편백통원목도마,식기/편백,편백,대/양면무절/둥근사각형
100022273V2_1699,편백통원목도마,식기/편백,편백,양면무절/손잡이형
100022274V2_1699,편백통원목도마,식기/편백,편백,중/양면무절/둥근사각형
100022275V2_1700,포기로메인,쌈채소류,로메인,250g
100022276V2_1701,포기상추,쌈채소류,상추,300g
100022277V2_1701,포기상추,쌈채소류,상추,재래종:300g
100022278V2_1702,포기생채,쌈채소류,생채,2포기
100022279V2_1703,포도/대봉,과일,포도(혼합포도),1.5kg
100022280V2_1704,포도/무/캠벨,과일,포도(혼합포도),1.5kg
100022281V2_1704,포도/무/캠벨,과일,포도(혼합포도),3kg
100022282V2_1704,포도/무/캠벨,과일,포도(혼합포도),4kg
100022283V2_1704,포도/무/캠벨,과일,포도(혼합포도),하우스:1.5kg
100022284V2_1705,포도/유/바라드계,과일,포도(혼합포도),하우스:1.5kg
100022285V2_1706,포도/유/스튜벤,과일,포도(혼합포도),1.5kg
100022286V2_1707,포도/유/캠벨,과일,포도(혼합포도),1.5kg
100022287V2_1707,포도/유/캠벨,과일,포도(혼합포도),4kg
100022288V2_1707,포도/유/캠벨,과일,포도(혼합포도),하우스:1.5kg
100022289V2_1707,포도/유/캠벨,과일,포도(혼합포도),하우스:2kg
100022290V2_1708,포도꽁꽁,음료,빙과,120ml
100022291V2_1709,포도잼,잼/병조림/기타,잼,280g
100022292V2_1710,포도즙,음료,과즙,180ml*1병:용
100022293V2_1710,포도즙,음료,과즙,1l
100022294V2_1710,포도즙,음료,과즙,1상자:180ml*10병
100022295V2_1710,포도즙,음료,과즙,팩:120ml*20봉
100022296V2_1710,포도즙,음료,과즙,팩120ml
100022297V2_1711,표고가루,가루,양념가루,60g
100022298V2_1712,표고가루/버섯모음,소스/기타양념,기타양념,
100022299V2_1713,표고맛국물팩,건어물,기타건어류,15g*10
100022300V2_1714,표고버섯,버섯,표고버섯,동고:500g
100022301V2_1714,표고버섯,버섯,표고버섯,백화고:500g
100022302V2_1714,표고버섯,버섯,표고버섯,흑화고:500g
100022303V2_1715,푸른머그컵세트,식기/편백,자기,2개
100022304V2_1716,푸른햇살접시,식기/편백,자기,대
100022305V2_1716,푸른햇살접시,식기/편백,자기,중
100022306V2_1717,풋고추,열매채소,풋고추,150g
100022307V2_1717,풋고추,열매채소,풋고추,300g
100022308V2_1718,풋귤,과일,귤(조생),1kg/무
100022309V2_1718,풋귤,과일,귤(조생),1kg/유
100022310V2_1718,풋귤,과일,귤(조생),3kg/유
100022311V2_1719,풋땅콩,견과,땅콩,1kg
100022312V2_1720,풋울타리콩,열매채소,풋콩,1kg
100022313V2_1721,프라이팬/20㎝,식기/편백,스테인리스,
100022314V2_1722,프라이팬/28㎝,식기/편백,스테인리스,
100022315V2_1723,프로폴리스,꿀,꿀부산물,50ml
100022316V2_1724,플레인롤케이크,빵,"케이크,롤,선물",90g/조각롤
100022317V2_1725,플레인요구르트,유제품,요구르트,450ml
100022318V2_1726,피,콩/화본/깨,화본,국산/300g
100022319V2_1727,피꼬막,생물수산,패류/갑각류,피조개/1.5kg
100022320V2_1728,피꼬막살,냉동수산,냉동패류,180g
100022321V2_1729,피망,열매채소,피망,3개/210g이상
100022322V2_1730,피자만두,밀가공,만두,500g
100022323V2_1731,하늘땅감자,과자,스낵,55g
100022324V2_1732,하늘땅옥수수,과자,스낵,55g
100022325V2_1733,하늘바다새우,과자,스낵,60g
100022326V2_1734,하늘밥백미,식사대용,식사대용/기타,210g
100022327V2_1734,하늘밥백미,식사대용,식사대용/기타,210g*12개입
100022328V2_1734,하늘밥백미,식사대용,식사대용/기타,210g*3개입
100022329V2_1735,하늘밥찹쌀현미,식사대용,식사대용/기타,210g
100022330V2_1735,하늘밥찹쌀현미,식사대용,식사대용/기타,210g*12개입
100022331V2_1735,하늘밥찹쌀현미,식사대용,식사대용/기타,210g*3개입
100022332V2_1736,한결옥고,건강일반,추출/농축액,700g
100022333V2_1737,한결홍옥고,건강일반,추출/농축액,1kg
100022334V2_1738,한결홍옥고환,건강일반,분말/환,170g
100022335V2_1739,한과모음3,과자,한과/유과,1.2kg
100022336V2_1739,한과모음3,과자,한과/유과,1.2kg/추천
100022337V2_1740,한과모음4,과자,한과/유과,540g
100022338V2_1741,한라봉/무,과일,귤만감,1.8kg
100022339V2_1742,한라봉/선물용,과일,귤만감,무:3kg
100022340V2_1743,한라봉/유,과일,귤만감,1.8kg
100022341V2_1744,한번익힌고기동그랑땡,즉석조리,간편요리,300g
100022342V2_1745,한번익힌깻잎전,즉석조리,간편요리,300g
100022343V2_1746,한번익힌동태전,즉석조리,간편요리,300g
100022344V2_1747,한우갈비살,소,한우(냉장),안심대안/300g
100022345V2_1748,한우고기곰국,육가공,식육추출가공,냉동:1.1kg
100022346V2_1748,한우고기곰국,육가공,식육추출가공,냉동:1.1kg-쿠폰북행사
100022347V2_1749,한우구이용갈비,소,한우,800g
100022348V2_1750,한우국갈비,소,한우,1kg
100022349V2_1751,한우국갈비/유기,소,유기한우,1kg
100022350V2_1752,한우국거리,소,한우,1kg
100022351V2_1752,한우국거리,소,한우,300g
100022352V2_1752,한우국거리,소,한우,600g
100022353V2_1753,한우국거리/유기,소,유기한우,300g국내산
100022354V2_1753,한우국거리/유기,소,유기한우,600g국내산
100022355V2_1754,한우국거리/조각,소,한우,300g
100022356V2_1755,한우등심,소,한우,600g
100022357V2_1755,한우등심,소,한우(냉장),안심대안/300g
100022358V2_1756,한우등심/유기,소,유기한우,600g
100022359V2_1757,한우등심선물,소,한우,2kg
100022360V2_1758,한우떡갈비,육가공,돈가스/분쇄가공,300g
100022361V2_1759,한우모둠구이용,소,한우(냉장),안심대안/300g
100022362V2_1760,한우모듬구이용,소,유기한우(냉장),유기/250g
100022363V2_1760,한우모듬구이용,소,한우,600g
100022364V2_1760,한우모듬구이용,소,한우,냉장/300g
100022365V2_1761,한우모듬구이용/유기,소,유기한우,600g
100022366V2_1762,한우반골꼬리,소,한우,1.5kg
100022367V2_1763,한우반골꼬리/유기,소,유기한우,1.5kg
100022368V2_1764,한우볶음고추장,장,장류/기타,250g
100022369V2_1765,한우분쇄육,소,한우,300g
100022370V2_1766,한우분쇄육/유기,소,유기한우,300g
100022371V2_1767,한우불고기,소,한우,600g
100022372V2_1768,한우불고기/유기,소,유기한우,600g
100022373V2_1769,한우불고기꼬마피자,밀가공,피자/핫도그,88g
100022374V2_1770,한우불고기부리토,밀가공,피자/핫도그,91g
100022375V2_1771,한우사골,소,한우,1.8kg
100022376V2_1772,한우사골/유기,소,유기한우,1.8kg
100022377V2_1773,한우사골국,육가공,식육추출가공,500g
100022378V2_1774,한우사골꼬리모음,소,한우,4.6kg
100022379V2_1775,한우산적,소,한우,600g
100022380V2_1776,한우산적/유기,소,유기한우,600g
100022381V2_1777,한우샤브샤브,소,한우,300g
100022382V2_1778,한우샤브샤브용/유기,소,유기한우,300g
100022383V2_1779,한우스지도가니,소,한우,500g
100022384V2_1780,한우스지도가니/유기,소,유기한우,500g
100022385V2_1781,한우안심,소,한우,600g
100022386V2_1781,한우안심,소,한우(냉장),안심대안/150g
100022387V2_1782,한우안심/유기,소,유기한우,600g
100022388V2_1783,한우얇은등심,소,한우,300g
100022389V2_1784,한우양념불고기,육가공,양념육,250g
100022390V2_1785,한우육포,육가공,육포/기타,50g
100022391V2_1786,한우잡뼈,소,한우,1kg
100022392V2_1787,한우잡뼈/유기,소,유기한우,1kg
100022393V2_1788,한우잡채용,소,한우,200g
100022394V2_1789,한우장조림,소,한우,600g
100022395V2_1790,한우장조림/유기,소,유기한우,600g
100022396V2_1791,한우조각국거리/유기,소,유기한우,250g
100022397V2_1792,한우족,소,한우,1족/1.9kg
100022398V2_1793,한우족/유기,소,유기한우,1.9kg/1족
100022399V2_1794,한우찜갈비,소,한우,1kg
100022400V2_1794,한우찜갈비,소,한우,3kg
100022401V2_1795,한우찜갈비/유기,소,유기한우,1kg
100022402V2_1796,한우차돌박이,소,한우,300g
100022403V2_1797,한우차돌박이/유기,소,유기한우,300g
100022404V2_1798,한우채끝,소,한우(냉장),안심대안/200g
100022405V2_1799,한우카레용,소,한우,200g
100022406V2_1800,한울사과즙,음료,과즙,120ml
100022407V2_1800,한울사과즙,음료,과즙,120ml*20봉
100022408V2_1801,한입쏙쏙젤리,음료,푸딩,450g
100022409V2_1802,한입쏙쏙젤리감귤,음료,푸딩,25g*10개
100022410V2_1803,한입쏙쏙젤리딸기,음료,푸딩,25g*10개
100022411V2_1804,한입쏙쏙젤리포도,음료,푸딩,25g*10개
100022412V2_1805,한재미나리,잎/줄기채소,미나리,200g
100022413V2_1806,함초분말,건강일반,분말/환,150g
100022414V2_1807,함초소금,소금,가공소금,300g
100022415V2_1808,합격기원떡,떡,떡케이크/선물,300g
100022416V2_1809,합격기원엿,과자,엿/양갱/기타,180g
100022417V2_1810,핫케이크가루,가루,프리믹스,600g
100022418V2_1811,항아리 꿀초,생활용품,환경용품,
100022419V2_1812,항정살,돼지,보리살림(냉장),300g
100022420V2_1812,항정살,중량(정육),돼지(중량),무항생제-성남용인
100022421V2_1813,항정살-성남용인,중량(정육),돼지(중량),
100022422V2_1814,해물동그랑땡,즉석조리,간편요리,300g
100022423V2_1815,해물맛국물팩,건어물,기타건어류,20g*7
100022424V2_1816,해물모음,냉동수산,기타냉동수산,270g
100022425V2_1816,해물모음,냉동수산,기타냉동수산,300g
100022426V2_1817,햄버거빵,빵,"식빵, 식사대용",204g/4개/
100022427V2_1818,햄버거스테이크,육가공,돈가스/분쇄가공,80g*5
100022428V2_1819,햇멸치,건어물,멸치류,중멸/600g
100022429V2_1820,햇살접시,식기/편백,자기,소
100022430V2_1820,햇살접시,식기/편백,자기,중
100022431V2_1821,행복누리 수제세탁비누,세제/세안,세탁비누,200g
100022432V2_1822,행복누리 주방고체비누,세제/세안,주방용비누,220g
100022433V2_1822,행복누리 주방고체비누,세제/세안,주방용비누,등외품/190g
100022434V2_1823,허브맛닭날개양념구이,육가공,햄/소시지/훈제,500g
100022435V2_1824,허브차모음,차,잎꽃차,
100022436V2_1825,허브혼합차,차,잎꽃차,15g
100022437V2_1826,헛개열매진액,건강일반,추출/농축액,100ml*10봉
100022438V2_1826,헛개열매진액,건강일반,추출/농축액,100ml*30봉
100022439V2_1827,현미/유,멥쌀,멥쌀,2kg
100022440V2_1827,현미/유,멥쌀,멥쌀,4kg
100022441V2_1827,현미/유,멥쌀,멥쌀,8kg
100022442V2_1828,현미가래떡,떡,가래떡,400g
100022443V2_1829,현미가루,가루,곡식가루,300g
100022444V2_1830,현미국수,밀가공,국수,500g
100022445V2_1831,현미도너츠가루,가루,프리믹스,540g
100022446V2_1832,현미떡볶이떡,떡,가래떡,500g
100022447V2_1833,현미뻥과자,과자,스낵,55g
100022448V2_1834,현미수국차,차,잎꽃차,1.5g*20티백
100022449V2_1835,현미쌀가스,즉석조리,간편요리,320g
100022450V2_1836,현미쌀너비아니,즉석조리,간편요리,200g
100022451V2_1837,현미쌀주물럭,즉석조리,간편요리,300g
100022452V2_1838,현미쌀탕수미,즉석조리,간편요리,300g
100022453V2_1839,현미유,기름/식초,기름,500ml
100022454V2_1839,현미유,기름/식초,기름,900ml
100022455V2_1840,현미유모음,기름/식초,기름,900ml*2
100022456V2_1841,현미차,차,곡류차,500g
100022457V2_1842,현미찹쌀고추장,장,고추장,900g
100022458V2_1843,현미콩고물과자,과자,스낵,70g
100022459V2_1844,현미튀밥,과자,스낵,80g
100022460V2_1845,호두,견과,호두,100g_대보름
100022461V2_1845,호두,견과,호두,300g:안깐것
100022462V2_1846,호두감자숙성빵,빵,건강곡물빵,260g/
100022463V2_1847,호두과자,빵,"찐빵,호떡,전통",220g
100022464V2_1848,호두머핀,빵,단과자빵,85g*2개
100022465V2_1849,호두쿠키,과자,쿠키,100g
100022466V2_1850,호두파이,빵,"파이,과자,쿠키류",소/12cm/150g
100022467V2_1851,호박쌀엿,과자,엿/양갱/기타,100g
100022468V2_1852,호박잎,잎/줄기채소,호박잎,250g
100022469V2_1853,호박죽,식사대용,죽,280g
100022470V2_1854,호박즙,음료,음료기타,80ml*30봉
100022471V2_1854,호박즙,음료,음료기타,80ml:1봉 용
100022472V2_1855,호박품은팥시루떡,떡,즉석떡,180g
100022473V2_1856,혼합15곡,보리/혼합곡,혼합곡,1kg
100022474V2_1857,혼합5곡,보리/혼합곡,혼합곡,국산/500g
100022475V2_1858,혼합8곡,보리/혼합곡,혼합곡,국산/500g
100022476V2_1859,혼합영지선물모음,버섯,영지버섯,
100022477V2_1860,혼합차모음,차,절임차,3병
100022478V2_1861,혼합표고선물모음1호,버섯,표고버섯,
100022479V2_1862,혼합표고선물모음3호,버섯,표고버섯,
100022480V2_1863,홍고추,열매채소,홍고추,300g
100022481V2_1864,홍도라지가루,건강일반,분말/환,2g*30봉
100022482V2_1865,홍두깨,소,한우(냉장),안심대안/200g
100022483V2_1866,홍두깨-성남용인,중량(정육),한우(중량),
100022484V2_1867,홍삼/도라지절편모음,건강일반,건강/기타,각 20g*5개
100022485V2_1868,홍삼농축액,홍삼/녹용,홍삼,100g
100022486V2_1869,홍삼농축액모음,홍삼/녹용,홍삼,100g*2병
100022487V2_1870,홍삼액,홍삼/녹용,홍삼,6년근/30봉
100022488V2_1870,홍삼액,홍삼/녹용,홍삼,6년근/60봉
100022489V2_1871,홍삼양갱,과자,엿/양갱/기타,40g
100022490V2_1872,홍삼양갱선물모음,과자,엿/양갱/기타,40g*10개
100022491V2_1873,홍삼절편,홍삼/녹용,홍삼,20g*10개
100022492V2_1874,홍시용감/대봉,과일,홍시용감(대봉),3kg
100022493V2_1874,홍시용감/대봉,과일,홍시용감(대봉),무:3kg
100022494V2_1875,홍시용감/둥시/,과일,홍시용감(둥시),1.5kg
100022495V2_1875,홍시용감/둥시/,과일,홍시용감(둥시),4.5kg
100022496V2_1876,홍피망,열매채소,피망,2개
100022497V2_1877,홍화나물,잎/줄기채소,홍화나물,200g
100022498V2_1878,홍화액,건강일반,추출/농축액,유기/60ml*30봉
100022499V2_1879,화분용퇴비,생활용품,숯/원예,1kg
100022500V2_1879,화분용퇴비,생활용품,숯/원예,5kg
100022501V2_1880,화장지움비누,세제/세안,세안비누,1장
100022502V2_1881,환청국장,장,장류/기타,270g
100022503V2_1882,황금향,과일,귤만감,무:2kg
100022504V2_1883,황기/2년근,말린나물/건재,황기,100g
100022505V2_1884,황기/4년근,말린나물/건재,황기,100g
100022506V2_1885,황기백숙,육가공,식육추출가공,2kg
100022507V2_1886,황매실,과일,황매실,남고/유
100022508V2_1887,황석어젓,수산가공,젓갈/액젓,1.8kg/1되
100022509V2_1888,황잣,견과,잣,120g:1병
100022510V2_1888,황잣,견과,잣,500g
100022511V2_1889,황태,건어물,황태류,4마리
100022512V2_1890,황태바삭달콤한맛,수산가공,수산가공간식,25g
100022513V2_1891,황태바삭매콤한맛,수산가공,수산가공간식,25g
100022514V2_1892,황태선물모음,건어물,황태류,
100022515V2_1893,황태채,건어물,황태류,200g
100022516V2_1894,황태포,건어물,황태류,요리용:4마리
100022517V2_1894,황태포,건어물,황태류,제수용:대1
100022518V2_1895,황토숙주나물,콩나물,숙주나물,300g
100022519V2_1896,황토쥐눈이콩콩나물,콩나물,콩나물,300g
100022520V2_1897,후랑크소시지,육가공,햄/소시지/훈제,300g-
100022521V2_1898,훈제닭다리살,육가공,햄/소시지/훈제,350g
100022522V2_1899,훈제오리,육가공,햄/소시지/훈제,350g
100022523V2_1900,훈제오리슬라이스,육가공,햄/소시지/훈제,250g
100022524V2_1901,훈제족발,육가공,햄/소시지/훈제,큰뼈제거/1족:750g이상
100022525V2_1902,휴대용 치약/칫솔모음,생활용품,치약/칫솔,감귤
100022526V2_1902,휴대용 치약/칫솔모음,생활용품,치약/칫솔,하늘바다
100022527V2_1903,흑마늘액,건강일반,추출/농축액,유기/1봉
100022528V2_1903,흑마늘액,건강일반,추출/농축액,유기/80ml*10봉
100022529V2_1903,흑마늘액,건강일반,추출/농축액,유기/80ml*30봉
100022530V2_1904,흑미,유색미/발아미,유색미,500g
100022531V2_1904,흑미,유색미/발아미,유색미,유1kg
100022532V2_1905,흑미베이글,빵,"식빵, 식사대용",90g*3개/
100022533V2_1906,흑미블루베리크림빵,빵,앙금크림빵,210g/
100022534V2_1907,흑미쌀과자,과자,스낵,55g
100022535V2_1908,흑미쌀쿠키,과자,쿠키,100g
100022536V2_1909,흑미참식,식사대용,선식/생식,700g
100022537V2_1910,흑방울토마토_500g,과일채소,방울토마토,
100022538V2_1911,흑수박,과일채소,수박,토종/2~3kg
100022539V2_1911,흑수박,과일채소,수박,토종/3~4kg
100022540V2_1911,흑수박,과일채소,수박,토종/4~5kg
100022541V2_1911,흑수박,과일채소,수박,토종/5~6kg
100022542V2_1911,흑수박,과일채소,수박,토종/6~7kg
100022543V2_1912,흑염소진액,건강일반,추출/농축액,100ml
100022544V2_1912,흑염소진액,건강일반,추출/농축액,100ml*30봉
100022545V2_1913,흑임자구름떡,떡,즉석떡,180g
100022546V2_1914,흑임자인절미,떡,즉석떡,150g
100022547V2_1915,흑토마토,과일채소,완숙토마토,1kg
100022548V2_1915,흑토마토,과일채소,완숙토마토,1kg/소
100022549V2_1916,흰밀가루,가루,곡식가루,1kg
